k1,k2,k3,t1,t2,t3,loop,cost,accuracy
-1,-1,0,0,0,0,0,4.617064878048782,72.5609756097561
-1,-1,3,0,0,2,9,16.212388097560982,77.07317073170732
-1,-1,3,0,0,4,9,19.208574536585367,78.17073170731707
-1,-1,5,0,0,2,9,26.96174102439025,78.65853658536585
-1,-1,5,0,0,4,9,31.966636390243902,80.42682926829269
-1,-1,10,0,0,2,9,53.97378585365854,80.54878048780488
-1,-1,10,0,0,4,9,63.85801453658537,82.2560975609756
-1,0,-1,0,0,0,0,1.5004670731707315,64.63414634146342
-1,1,0,0,2,0,0,1.797486890243903,64.63414634146342
-1,1,0,0,4,0,0,2.3387725609756083,64.63414634146342
-1,1,3,0,2,2,9,1.797486890243903,64.63414634146342
-1,1,3,0,2,4,9,1.797486890243903,64.63414634146342
-1,1,3,0,4,2,9,2.3387725609756083,64.63414634146342
-1,1,3,0,4,4,9,2.3387725609756083,64.63414634146342
-1,1,5,0,2,2,9,1.797486890243903,64.63414634146342
-1,1,5,0,2,4,9,1.797486890243903,64.63414634146342
-1,1,5,0,4,2,9,2.3387725609756083,64.63414634146342
-1,1,5,0,4,4,9,2.3387725609756083,64.63414634146342
-1,1,10,0,2,2,9,1.797486890243903,64.63414634146342
-1,1,10,0,2,4,9,1.797486890243903,64.63414634146342
-1,1,10,0,4,2,9,2.3387725609756083,64.63414634146342
-1,1,10,0,4,4,9,2.3387725609756083,64.63414634146342
-1,3,-1,0,2,0,9,4.962526006097562,69.6341463414634
-1,3,-1,0,4,0,9,5.918925762195121,72.07317073170731
-1,3,0,0,2,0,9,4.962526006097562,69.6341463414634
-1,3,0,0,4,0,9,5.918925762195121,72.07317073170731
-1,3,3,0,2,2,9,4.962526006097562,69.6341463414634
-1,3,3,0,2,4,9,4.962526006097562,69.6341463414634
-1,3,3,0,4,2,9,5.918925762195121,72.07317073170731
-1,3,3,0,4,4,9,5.918925762195121,72.07317073170731
-1,3,5,0,2,2,9,4.962526006097562,69.6341463414634
-1,3,5,0,2,4,9,4.962526006097562,69.6341463414634
-1,3,5,0,4,2,9,5.918925762195121,72.07317073170731
-1,3,5,0,4,4,9,5.918925762195121,72.07317073170731
-1,3,10,0,2,2,9,4.962526006097562,69.6341463414634
-1,3,10,0,2,4,9,4.962526006097562,69.6341463414634
-1,3,10,0,4,2,9,5.918925762195121,72.07317073170731
-1,3,10,0,4,4,9,5.918925762195121,72.07317073170731
-1,5,-1,0,2,0,9,8.283633323170731,72.1951219512195
-1,5,-1,0,4,0,9,9.89207368902439,75.42682926829268
-1,5,0,0,2,0,9,8.283633323170731,72.1951219512195
-1,5,0,0,4,0,9,9.89207368902439,75.42682926829268
-1,5,3,0,2,2,9,8.283633323170731,72.1951219512195
-1,5,3,0,2,4,9,8.283633323170731,72.1951219512195
-1,5,3,0,4,2,9,9.89207368902439,75.42682926829268
-1,5,3,0,4,4,9,9.89207368902439,75.42682926829268
-1,5,5,0,2,2,9,8.283633323170731,72.1951219512195
-1,5,5,0,2,4,9,8.283633323170731,72.1951219512195
-1,5,5,0,4,2,9,9.89207368902439,75.42682926829268
-1,5,5,0,4,4,9,9.89207368902439,75.42682926829268
-1,5,10,0,2,2,9,8.283633323170731,72.1951219512195
-1,5,10,0,2,4,9,8.283633323170731,72.1951219512195
-1,5,10,0,4,2,9,9.89207368902439,75.42682926829268
-1,5,10,0,4,4,9,9.89207368902439,75.42682926829268
-1,10,-1,0,2,0,9,16.524386310975608,75.3048780487805
-1,10,-1,0,4,0,9,19.744101402439025,78.78048780487805
-1,10,0,0,2,0,9,16.524386310975608,75.3048780487805
-1,10,0,0,4,0,9,19.744101402439025,78.78048780487805
-1,10,3,0,2,2,9,16.524386310975608,75.3048780487805
-1,10,3,0,2,4,9,16.524386310975608,75.3048780487805
-1,10,3,0,4,2,9,19.744101402439025,78.78048780487805
-1,10,3,0,4,4,9,19.744101402439025,78.78048780487805
-1,10,5,0,2,2,9,16.524386310975608,75.3048780487805
-1,10,5,0,2,4,9,16.524386310975608,75.3048780487805
-1,10,5,0,4,2,9,19.744101402439025,78.78048780487805
-1,10,5,0,4,4,9,19.744101402439025,78.78048780487805
-1,10,10,0,2,2,9,16.524386310975608,75.3048780487805
-1,10,10,0,2,4,9,16.524386310975608,75.3048780487805
-1,10,10,0,4,2,9,19.744101402439025,78.78048780487805
-1,10,10,0,4,4,9,19.744101402439025,78.78048780487805
0,-1,-1,0,0,0,0,0.44146621951219545,56.70731707317073
1,-1,0,2,0,0,0,0.5291748170731706,56.70731707317073
1,-1,0,4,0,0,0,0.6148220121951221,56.70731707317073
1,-1,3,2,0,2,9,0.5291748170731706,56.70731707317073
1,-1,3,2,0,4,9,0.5291748170731706,56.70731707317073
1,-1,3,4,0,2,9,0.6148220121951221,56.70731707317073
1,-1,3,4,0,4,9,0.6148220121951221,56.70731707317073
1,-1,5,2,0,2,9,0.5291748170731706,56.70731707317073
1,-1,5,2,0,4,9,0.5291748170731706,56.70731707317073
1,-1,5,4,0,2,9,0.6148220121951221,56.70731707317073
1,-1,5,4,0,4,9,0.6148220121951221,56.70731707317073
1,-1,10,2,0,2,9,0.5291748170731706,56.70731707317073
1,-1,10,2,0,4,9,0.5291748170731706,56.70731707317073
1,-1,10,4,0,2,9,0.6148220121951221,56.70731707317073
1,-1,10,4,0,4,9,0.6148220121951221,56.70731707317073
1,0,-1,2,0,0,0,0.5291748170731706,56.70731707317073
1,0,-1,4,0,0,0,0.6148220121951221,56.70731707317073
1,1,-1,2,2,0,0,0.5291748170731706,56.70731707317073
1,1,-1,2,4,0,0,0.5291748170731706,56.70731707317073
1,1,-1,4,2,0,0,0.6148220121951221,56.70731707317073
1,1,-1,4,4,0,0,0.6148220121951221,56.70731707317073
1,1,0,2,2,0,0,0.5291748170731706,56.70731707317073
1,1,0,2,4,0,0,0.5291748170731706,56.70731707317073
1,1,0,4,2,0,0,0.6148220121951221,56.70731707317073
1,1,0,4,4,0,0,0.6148220121951221,56.70731707317073
1,1,3,2,2,2,9,0.5291748170731706,56.70731707317073
1,1,3,2,2,4,9,0.5291748170731706,56.70731707317073
1,1,3,2,4,2,9,0.5291748170731706,56.70731707317073
1,1,3,2,4,4,9,0.5291748170731706,56.70731707317073
1,1,3,4,2,2,9,0.6148220121951221,56.70731707317073
1,1,3,4,2,4,9,0.6148220121951221,56.70731707317073
1,1,3,4,4,2,9,0.6148220121951221,56.70731707317073
1,1,3,4,4,4,9,0.6148220121951221,56.70731707317073
1,1,5,2,2,2,9,0.5291748170731706,56.70731707317073
1,1,5,2,2,4,9,0.5291748170731706,56.70731707317073
1,1,5,2,4,2,9,0.5291748170731706,56.70731707317073
1,1,5,2,4,4,9,0.5291748170731706,56.70731707317073
1,1,5,4,2,2,9,0.6148220121951221,56.70731707317073
1,1,5,4,2,4,9,0.6148220121951221,56.70731707317073
1,1,5,4,4,2,9,0.6148220121951221,56.70731707317073
1,1,5,4,4,4,9,0.6148220121951221,56.70731707317073
1,1,10,2,2,2,9,0.5291748170731706,56.70731707317073
1,1,10,2,2,4,9,0.5291748170731706,56.70731707317073
1,1,10,2,4,2,9,0.5291748170731706,56.70731707317073
1,1,10,2,4,4,9,0.5291748170731706,56.70731707317073
1,1,10,4,2,2,9,0.6148220121951221,56.70731707317073
1,1,10,4,2,4,9,0.6148220121951221,56.70731707317073
1,1,10,4,4,2,9,0.6148220121951221,56.70731707317073
1,1,10,4,4,4,9,0.6148220121951221,56.70731707317073
1,3,-1,2,2,0,9,0.5291748170731706,56.70731707317073
1,3,-1,2,4,0,9,0.5291748170731706,56.70731707317073
1,3,-1,4,2,0,9,0.6148220121951221,56.70731707317073
1,3,-1,4,4,0,9,0.6148220121951221,56.70731707317073
1,3,0,2,2,0,9,0.5291748170731706,56.70731707317073
1,3,0,2,4,0,9,0.5291748170731706,56.70731707317073
1,3,0,4,2,0,9,0.6148220121951221,56.70731707317073
1,3,0,4,4,0,9,0.6148220121951221,56.70731707317073
1,3,3,2,2,2,9,0.5291748170731706,56.70731707317073
1,3,3,2,2,4,9,0.5291748170731706,56.70731707317073
1,3,3,2,4,2,9,0.5291748170731706,56.70731707317073
1,3,3,2,4,4,9,0.5291748170731706,56.70731707317073
1,3,3,4,2,2,9,0.6148220121951221,56.70731707317073
1,3,3,4,2,4,9,0.6148220121951221,56.70731707317073
1,3,3,4,4,2,9,0.6148220121951221,56.70731707317073
1,3,3,4,4,4,9,0.6148220121951221,56.70731707317073
1,3,5,2,2,2,9,0.5291748170731706,56.70731707317073
1,3,5,2,2,4,9,0.5291748170731706,56.70731707317073
1,3,5,2,4,2,9,0.5291748170731706,56.70731707317073
1,3,5,2,4,4,9,0.5291748170731706,56.70731707317073
1,3,5,4,2,2,9,0.6148220121951221,56.70731707317073
1,3,5,4,2,4,9,0.6148220121951221,56.70731707317073
1,3,5,4,4,2,9,0.6148220121951221,56.70731707317073
1,3,5,4,4,4,9,0.6148220121951221,56.70731707317073
1,3,10,2,2,2,9,0.5291748170731706,56.70731707317073
1,3,10,2,2,4,9,0.5291748170731706,56.70731707317073
1,3,10,2,4,2,9,0.5291748170731706,56.70731707317073
1,3,10,2,4,4,9,0.5291748170731706,56.70731707317073
1,3,10,4,2,2,9,0.6148220121951221,56.70731707317073
1,3,10,4,2,4,9,0.6148220121951221,56.70731707317073
1,3,10,4,4,2,9,0.6148220121951221,56.70731707317073
1,3,10,4,4,4,9,0.6148220121951221,56.70731707317073
1,5,-1,2,2,0,9,0.5291748170731706,56.70731707317073
1,5,-1,2,4,0,9,0.5291748170731706,56.70731707317073
1,5,-1,4,2,0,9,0.6148220121951221,56.70731707317073
1,5,-1,4,4,0,9,0.6148220121951221,56.70731707317073
1,5,0,2,2,0,9,0.5291748170731706,56.70731707317073
1,5,0,2,4,0,9,0.5291748170731706,56.70731707317073
1,5,0,4,2,0,9,0.6148220121951221,56.70731707317073
1,5,0,4,4,0,9,0.6148220121951221,56.70731707317073
1,5,3,2,2,2,9,0.5291748170731706,56.70731707317073
1,5,3,2,2,4,9,0.5291748170731706,56.70731707317073
1,5,3,2,4,2,9,0.5291748170731706,56.70731707317073
1,5,3,2,4,4,9,0.5291748170731706,56.70731707317073
1,5,3,4,2,2,9,0.6148220121951221,56.70731707317073
1,5,3,4,2,4,9,0.6148220121951221,56.70731707317073
1,5,3,4,4,2,9,0.6148220121951221,56.70731707317073
1,5,3,4,4,4,9,0.6148220121951221,56.70731707317073
1,5,5,2,2,2,9,0.5291748170731706,56.70731707317073
1,5,5,2,2,4,9,0.5291748170731706,56.70731707317073
1,5,5,2,4,2,9,0.5291748170731706,56.70731707317073
1,5,5,2,4,4,9,0.5291748170731706,56.70731707317073
1,5,5,4,2,2,9,0.6148220121951221,56.70731707317073
1,5,5,4,2,4,9,0.6148220121951221,56.70731707317073
1,5,5,4,4,2,9,0.6148220121951221,56.70731707317073
1,5,5,4,4,4,9,0.6148220121951221,56.70731707317073
1,5,10,2,2,2,9,0.5291748170731706,56.70731707317073
1,5,10,2,2,4,9,0.5291748170731706,56.70731707317073
1,5,10,2,4,2,9,0.5291748170731706,56.70731707317073
1,5,10,2,4,4,9,0.5291748170731706,56.70731707317073
1,5,10,4,2,2,9,0.6148220121951221,56.70731707317073
1,5,10,4,2,4,9,0.6148220121951221,56.70731707317073
1,5,10,4,4,2,9,0.6148220121951221,56.70731707317073
1,5,10,4,4,4,9,0.6148220121951221,56.70731707317073
1,10,-1,2,2,0,9,0.5291748170731706,56.70731707317073
1,10,-1,2,4,0,9,0.5291748170731706,56.70731707317073
1,10,-1,4,2,0,9,0.6148220121951221,56.70731707317073
1,10,-1,4,4,0,9,0.6148220121951221,56.70731707317073
1,10,0,2,2,0,9,0.5291748170731706,56.70731707317073
1,10,0,2,4,0,9,0.5291748170731706,56.70731707317073
1,10,0,4,2,0,9,0.6148220121951221,56.70731707317073
1,10,0,4,4,0,9,0.6148220121951221,56.70731707317073
1,10,3,2,2,2,9,0.5291748170731706,56.70731707317073
1,10,3,2,2,4,9,0.5291748170731706,56.70731707317073
1,10,3,2,4,2,9,0.5291748170731706,56.70731707317073
1,10,3,2,4,4,9,0.5291748170731706,56.70731707317073
1,10,3,4,2,2,9,0.6148220121951221,56.70731707317073
1,10,3,4,2,4,9,0.6148220121951221,56.70731707317073
1,10,3,4,4,2,9,0.6148220121951221,56.70731707317073
1,10,3,4,4,4,9,0.6148220121951221,56.70731707317073
1,10,5,2,2,2,9,0.5291748170731706,56.70731707317073
1,10,5,2,2,4,9,0.5291748170731706,56.70731707317073
1,10,5,2,4,2,9,0.5291748170731706,56.70731707317073
1,10,5,2,4,4,9,0.5291748170731706,56.70731707317073
1,10,5,4,2,2,9,0.6148220121951221,56.70731707317073
1,10,5,4,2,4,9,0.6148220121951221,56.70731707317073
1,10,5,4,4,2,9,0.6148220121951221,56.70731707317073
1,10,5,4,4,4,9,0.6148220121951221,56.70731707317073
1,10,10,2,2,2,9,0.5291748170731706,56.70731707317073
1,10,10,2,2,4,9,0.5291748170731706,56.70731707317073
1,10,10,2,4,2,9,0.5291748170731706,56.70731707317073
1,10,10,2,4,4,9,0.5291748170731706,56.70731707317073
1,10,10,4,2,2,9,0.6148220121951221,56.70731707317073
1,10,10,4,2,4,9,0.6148220121951221,56.70731707317073
1,10,10,4,4,2,9,0.6148220121951221,56.70731707317073
1,10,10,4,4,4,9,0.6148220121951221,56.70731707317073
3,-1,-1,2,0,0,9,1.4765289939024389,64.26829268292683
3,-1,-1,4,0,0,9,1.7542453231707313,66.58536585365854
3,-1,0,2,0,0,9,1.4765289939024389,64.26829268292683
3,-1,0,4,0,0,9,1.7542453231707313,66.58536585365854
3,-1,3,2,0,2,9,1.4765289939024389,64.26829268292683
3,-1,3,2,0,4,9,1.4765289939024389,64.26829268292683
3,-1,3,4,0,2,9,1.7542453231707313,66.58536585365854
3,-1,3,4,0,4,9,1.7542453231707313,66.58536585365854
3,-1,5,2,0,2,9,1.4765289939024389,64.26829268292683
3,-1,5,2,0,4,9,1.4765289939024389,64.26829268292683
3,-1,5,4,0,2,9,1.7542453231707313,66.58536585365854
3,-1,5,4,0,4,9,1.7542453231707313,66.58536585365854
3,-1,10,2,0,2,9,1.4765289939024389,64.26829268292683
3,-1,10,2,0,4,9,1.4765289939024389,64.26829268292683
3,-1,10,4,0,2,9,1.7542453231707313,66.58536585365854
3,-1,10,4,0,4,9,1.7542453231707313,66.58536585365854
3,0,-1,2,0,0,9,1.4765289939024389,64.26829268292683
3,0,-1,4,0,0,9,1.7542453231707313,66.58536585365854
3,1,0,2,2,0,9,1.4765289939024389,64.26829268292683
3,1,0,2,4,0,9,1.4765289939024389,64.26829268292683
3,1,0,4,2,0,9,1.7542453231707313,66.58536585365854
3,1,0,4,4,0,9,1.7542453231707313,66.58536585365854
3,1,3,2,2,2,9,1.4765289939024389,64.26829268292683
3,1,3,2,2,4,9,1.4765289939024389,64.26829268292683
3,1,3,2,4,2,9,1.4765289939024389,64.26829268292683
3,1,3,2,4,4,9,1.4765289939024389,64.26829268292683
3,1,3,4,2,2,9,1.7542453231707313,66.58536585365854
3,1,3,4,2,4,9,1.7542453231707313,66.58536585365854
3,1,3,4,4,2,9,1.7542453231707313,66.58536585365854
3,1,3,4,4,4,9,1.7542453231707313,66.58536585365854
3,1,5,2,2,2,9,1.4765289939024389,64.26829268292683
3,1,5,2,2,4,9,1.4765289939024389,64.26829268292683
3,1,5,2,4,2,9,1.4765289939024389,64.26829268292683
3,1,5,2,4,4,9,1.4765289939024389,64.26829268292683
3,1,5,4,2,2,9,1.7542453231707313,66.58536585365854
3,1,5,4,2,4,9,1.7542453231707313,66.58536585365854
3,1,5,4,4,2,9,1.7542453231707313,66.58536585365854
3,1,5,4,4,4,9,1.7542453231707313,66.58536585365854
3,1,10,2,2,2,9,1.4765289939024389,64.26829268292683
3,1,10,2,2,4,9,1.4765289939024389,64.26829268292683
3,1,10,2,4,2,9,1.4765289939024389,64.26829268292683
3,1,10,2,4,4,9,1.4765289939024389,64.26829268292683
3,1,10,4,2,2,9,1.7542453231707313,66.58536585365854
3,1,10,4,2,4,9,1.7542453231707313,66.58536585365854
3,1,10,4,4,2,9,1.7542453231707313,66.58536585365854
3,1,10,4,4,4,9,1.7542453231707313,66.58536585365854
3,3,-1,2,2,0,9,1.4765289939024389,64.26829268292683
3,3,-1,2,4,0,9,1.4765289939024389,64.26829268292683
3,3,-1,4,2,0,9,1.7542453231707313,66.58536585365854
3,3,-1,4,4,0,9,1.7542453231707313,66.58536585365854
3,3,0,2,2,0,9,1.4765289939024389,64.26829268292683
3,3,0,2,4,0,9,1.4765289939024389,64.26829268292683
3,3,0,4,2,0,9,1.7542453231707313,66.58536585365854
3,3,0,4,4,0,9,1.7542453231707313,66.58536585365854
3,3,3,2,2,2,9,1.4765289939024389,64.26829268292683
3,3,3,2,2,4,9,1.4765289939024389,64.26829268292683
3,3,3,2,4,2,9,1.4765289939024389,64.26829268292683
3,3,3,2,4,4,9,1.4765289939024389,64.26829268292683
