k1,k2,k3,t1,t2,t3,loop,cost,accuracy
-1,-1,0,0,0,0,0,4.617064878048782,72.5609756097561
-1,-1,3,0,0,2,9,16.212388097560982,77.07317073170732
-1,-1,3,0,0,4,9,19.208574536585367,78.17073170731707
-1,-1,5,0,0,2,9,26.96174102439025,78.65853658536585
-1,-1,5,0,0,4,9,31.966636390243902,80.42682926829269
-1,-1,10,0,0,2,9,53.97378585365854,80.54878048780488
-1,-1,10,0,0,4,9,63.85801453658537,82.2560975609756
-1,0,-1,0,0,0,0,1.5004670731707315,64.63414634146342
-1,1,0,0,2,0,0,2.423322500000001,67.6829268292683
-1,1,0,0,4,0,0,2.7970110975609748,66.46341463414635
-1,1,3,0,2,2,9,3.8883776219512205,67.8658536585366
-1,1,3,0,2,4,9,4.21269893902439,67.8658536585366
-1,1,3,0,4,2,9,3.8946485121951206,66.40243902439025
-1,1,3,0,4,4,9,4.152757878048779,66.40243902439025
-1,1,5,0,2,2,9,5.259390792682927,68.10975609756098
-1,1,5,0,2,4,9,5.808709329268293,67.92682926829269
-1,1,5,0,4,2,9,4.9174843170731695,66.64634146341464
-1,1,5,0,4,4,9,5.353520560975608,66.40243902439025
-1,1,10,0,2,2,9,8.75476474390244,68.65853658536587
-1,1,10,0,2,4,9,9.851871475609757,68.53658536585365
-1,1,10,0,4,2,9,7.533997975609757,66.76829268292683
-1,1,10,0,4,4,9,8.404737585365853,66.58536585365854
-1,3,-1,0,2,0,9,4.962526006097562,69.6341463414634
-1,3,-1,0,4,0,9,5.918925762195121,72.07317073170731
-1,3,0,0,2,0,9,5.27022337195122,71.21951219512195
-1,3,0,0,4,0,9,6.24635712804878,73.78048780487805
-1,3,3,0,2,2,9,5.99433405487805,71.28048780487805
-1,3,3,0,2,4,9,6.178197176829268,71.28048780487805
-1,3,3,0,4,2,9,7.045022591463414,73.96341463414635
-1,3,3,0,4,4,9,7.261763371951218,73.90243902439025
-1,3,5,0,2,2,9,6.643593762195122,71.40243902439025
-1,3,5,0,2,4,9,6.9549195182926855,71.40243902439025
-1,3,5,0,4,2,9,7.756976932926827,74.02439024390245
-1,3,5,0,4,4,9,8.116668884146339,73.96341463414635
-1,3,10,0,2,2,9,8.352306396341465,71.76829268292683
-1,3,10,0,2,4,9,8.96708405487805,71.82926829268293
-1,3,10,0,4,2,9,9.64449268902439,74.08536585365853
-1,3,10,0,4,4,9,10.376501908536586,74.14634146341463
-1,5,-1,0,2,0,9,8.283633323170731,72.1951219512195
-1,5,-1,0,4,0,9,9.89207368902439,75.42682926829268
-1,5,0,0,2,0,9,8.53130181097561,73.35365853658537
-1,5,0,0,4,0,9,10.144296176829267,76.52439024390245
-1,5,3,0,2,2,9,9.151583762195122,73.10975609756098
-1,5,3,0,2,4,9,9.310628201219513,73.17073170731707
-1,5,3,0,4,2,9,10.749805396341461,76.52439024390245
-1,5,3,0,4,4,9,10.9120956402439,76.46341463414635
-1,5,5,0,2,2,9,9.67364000609756,73.17073170731707
-1,5,5,0,2,4,9,9.941499128048783,73.29268292682927
-1,5,5,0,4,2,9,11.28352432317073,76.52439024390245
-1,5,5,0,4,4,9,11.557677591463413,76.46341463414635
-1,5,10,0,2,2,9,11.078024493902438,73.53658536585365
-1,5,10,0,2,4,9,11.618457176829269,73.53658536585365
-1,5,10,0,4,2,9,12.678714420731705,76.76829268292683
-1,5,10,0,4,4,9,13.23569700609756,76.82926829268293
-1,10,-1,0,2,0,9,16.524386310975608,75.3048780487805
-1,10,-1,0,4,0,9,19.744101402439025,78.78048780487805
-1,10,0,0,2,0,9,16.722824701219512,75.91463414634147
-1,10,0,0,4,0,9,19.890767353658536,79.32926829268293
-1,10,3,0,2,2,9,17.18786338414634,75.73170731707317
-1,10,3,0,2,4,9,17.32858075,75.79268292682927
-1,10,3,0,4,2,9,20.29158106097561,79.26829268292683
-1,10,3,0,4,4,9,20.416982670731706,79.32926829268293
-1,10,5,0,2,2,9,17.58517211585366,75.85365853658537
-1,10,5,0,2,4,9,17.817635920731707,75.85365853658537
-1,10,5,0,4,2,9,20.61995037804878,79.32926829268293
-1,10,5,0,4,4,9,20.821128573170732,79.39024390243902
-1,10,10,0,2,2,9,18.664124554878047,76.03658536585365
-1,10,10,0,2,4,9,19.118623628048777,75.97560975609755
-1,10,10,0,4,2,9,21.51173218292683,79.57317073170731
-1,10,10,0,4,4,9,21.926035109756096,79.45121951219512
0,-1,-1,0,0,0,0,0.44146621951219545,56.70731707317073
1,-1,0,2,0,0,0,1.3853021341463412,64.63414634146342
1,-1,0,4,0,0,0,1.2702771341463415,62.19512195121951
1,-1,3,2,0,2,9,3.5151055,65.48780487804878
1,-1,3,2,0,4,9,4.0915875975609755,65.48780487804878
1,-1,3,4,0,2,9,2.837717036585366,63.29268292682927
1,-1,3,4,0,4,9,3.275024451219512,63.29268292682927
1,-1,5,2,0,2,9,5.489616231707317,65.67073170731707
1,-1,5,2,0,4,9,6.468713890243904,65.73170731707317
1,-1,5,4,0,2,9,4.325480451219512,63.29268292682927
1,-1,5,4,0,4,9,5.071990890243903,63.29268292682927
1,-1,10,2,0,2,9,10.499843109756098,66.28048780487805
1,-1,10,2,0,4,9,12.418718524390245,66.58536585365854
1,-1,10,4,0,2,9,8.050245182926831,64.08536585365854
1,-1,10,4,0,4,9,9.503415475609758,64.08536585365854
1,0,-1,2,0,0,0,0.8146382317073168,62.80487804878049
1,0,-1,4,0,0,0,0.8378403048780487,60.97560975609756
1,1,-1,2,2,0,0,0.8644726829268292,62.80487804878049
1,1,-1,2,4,0,0,0.9208354878048777,62.80487804878049
1,1,-1,4,2,0,0,0.8720634756097562,60.97560975609756
1,1,-1,4,4,0,0,0.9127339024390245,60.97560975609756
1,1,0,2,2,0,0,1.2012712195121948,64.02439024390245
1,1,0,2,4,0,0,1.2082681707317073,63.41463414634146
1,1,0,4,2,0,0,1.1186459146341465,61.58536585365854
1,1,0,4,4,0,0,1.130190487804878,61.58536585365854
1,1,3,2,2,2,9,2.023299073170732,63.78048780487805
1,1,3,2,2,4,9,2.2276490243902436,63.78048780487805
1,1,3,2,4,2,9,1.8906770487804876,63.109756097560975
1,1,3,2,4,4,9,2.065691341463414,63.109756097560975
1,1,3,4,2,2,9,1.6763443048780489,61.58536585365854
1,1,3,4,2,4,9,1.8119893292682931,61.58536585365854
1,1,3,4,4,2,9,1.6119765365853658,61.46341463414634
1,1,3,4,4,4,9,1.7378347804878052,61.46341463414634
1,1,5,2,2,2,9,2.762762536585366,63.84146341463415
1,1,5,2,2,4,9,3.1102981463414636,63.84146341463415
1,1,5,2,4,2,9,2.5103789512195123,63.170731707317074
1,1,5,2,4,4,9,2.807154121951219,63.109756097560975
1,1,5,4,2,2,9,2.195302841463415,61.58536585365854
1,1,5,4,2,4,9,2.427013817073171,61.58536585365854
1,1,5,4,4,2,9,2.067425902439025,61.46341463414634
1,1,5,4,4,4,9,2.2830312682926825,61.46341463414634
1,1,10,2,2,2,9,4.725733999999999,64.26829268292683
1,1,10,2,2,4,9,5.421175463414634,64.45121951219512
1,1,10,2,4,2,9,4.14768387804878,63.170731707317074
1,1,10,2,4,4,9,4.737568804878048,63.29268292682927
1,1,10,4,2,2,9,3.5439162560975612,62.19512195121951
1,1,10,4,2,4,9,4.00591893902439,62.19512195121951
1,1,10,4,4,2,9,3.2413088780487804,61.646341463414636
1,1,10,4,4,4,9,3.670507951219513,61.646341463414636
1,3,-1,2,2,0,9,1.4449690243902436,62.5609756097561
1,3,-1,2,4,0,9,1.619336890243902,63.109756097560975
1,3,-1,4,2,0,9,1.302265762195122,61.28048780487805
1,3,-1,4,4,0,9,1.4313203658536586,61.58536585365854
1,3,0,2,2,0,9,1.7017331707317076,63.59756097560976
1,3,0,2,4,0,9,1.8877266951219516,64.39024390243902
1,3,0,4,2,0,9,1.5133418109756098,61.951219512195124
1,3,0,4,4,0,9,1.6443093414634147,62.68292682926829
1,3,3,2,2,2,9,2.2993191707317067,63.53658536585366
1,3,3,2,2,4,9,2.450526780487805,63.53658536585366
1,3,3,2,4,2,9,2.512426890243902,64.51219512195122
1,3,3,2,4,4,9,2.686601963414634,64.51219512195122
1,3,3,4,2,2,9,1.9758381524390243,62.073170731707314
1,3,3,4,2,4,9,2.0925266890243903,62.073170731707314
1,3,3,4,4,2,9,2.1108907073170733,62.926829268292686
1,3,3,4,4,4,9,2.2478932926829267,62.926829268292686
1,3,5,2,2,2,9,2.8310758048780484,63.65853658536585
1,3,5,2,2,4,9,3.088926,63.65853658536585
1,3,5,2,4,2,9,3.069372451219512,64.57317073170732
1,3,5,2,4,4,9,3.3575332804878046,64.51219512195122
1,3,5,4,2,2,9,2.4025319085365853,62.073170731707314
1,3,5,4,2,4,9,2.601624396341464,62.073170731707314
1,3,5,4,4,2,9,2.5404847073170735,62.86585365853659
1,3,5,4,4,4,9,2.7665309512195124,62.86585365853659
1,3,10,2,2,2,9,4.263389024390244,63.963414634146346
1,3,10,2,2,4,9,4.775473365853658,64.08536585365854
1,3,10,2,4,2,9,4.572143085365854,64.57317073170732
1,3,10,2,4,4,9,5.166878207317073,64.69512195121952
1,3,10,4,2,2,9,3.5232478597560983,62.5
1,3,10,4,2,4,9,3.9154965914634148,62.5
1,3,10,4,4,2,9,3.679194512195122,63.048780487804876
1,3,10,4,4,4,9,4.14699768292683,63.048780487804876
1,5,-1,2,2,0,9,2.07443612804878,63.170731707317074
1,5,-1,2,4,0,9,2.3660872865853655,63.84146341463415
1,5,-1,4,2,0,9,1.7763337195121953,61.890243902439025
1,5,-1,4,4,0,9,1.9913071341463415,62.31707317073171
1,5,0,2,2,0,9,2.2787120304878044,64.08536585365854
1,5,0,2,4,0,9,2.597378652439024,64.9390243902439
1,5,0,4,2,0,9,1.9488056707317076,62.68292682926829
1,5,0,4,4,0,9,2.181427378048781,63.23170731707317
1,5,3,2,2,2,9,2.75753612804878,63.963414634146346
1,5,3,2,2,4,9,2.885875006097561,64.02439024390245
1,5,3,2,4,2,9,3.135429432926829,64.9390243902439
1,5,3,2,4,4,9,3.2809352865853656,64.8780487804878
1,5,3,4,2,2,9,2.3325264512195125,62.68292682926829
1,5,3,4,2,4,9,2.44104493902439,62.68292682926829
1,5,3,4,4,2,9,2.604690207317073,63.29268292682927
1,5,3,4,4,4,9,2.724994792682927,63.29268292682927
1,5,5,2,2,2,9,3.163718371951219,64.02439024390245
1,5,5,2,2,4,9,3.3807923719512187,64.14634146341463
1,5,5,2,4,2,9,3.610390652439025,64.9390243902439
1,5,5,2,4,4,9,3.8566398719512196,64.8780487804878
1,5,5,4,2,2,9,2.6673873780487805,62.68292682926829
1,5,5,4,2,4,9,2.850793865853659,62.68292682926829
1,5,5,4,4,2,9,2.9836595243902444,63.23170731707317
1,5,5,4,4,4,9,3.188453768292683,63.23170731707317
1,5,10,2,2,2,9,4.266761347560975,64.26829268292683
1,5,10,2,2,4,9,4.711140420731708,64.39024390243902
1,5,10,2,4,2,9,4.856915481707317,65.1219512195122
1,5,10,2,4,4,9,5.358509579268293,65.1829268292683
1,5,10,4,2,2,9,3.5628839634146345,62.926829268292686
1,5,10,4,2,4,9,3.9399650365853662,62.926829268292686
1,5,10,4,4,2,9,3.966471963414635,63.53658536585366
1,5,10,4,4,4,9,4.384181134146342,63.53658536585366
1,10,-1,2,2,0,9,3.6263839329268297,64.51219512195122
1,10,-1,2,4,0,9,4.196698475609756,65.2439024390244
1,10,-1,4,2,0,9,2.9408784756097557,62.926829268292686
1,10,-1,4,4,0,9,3.3594473170731707,63.29268292682927
1,10,0,2,2,0,9,3.8086673475609754,65.0
1,10,0,2,4,0,9,4.323408280487804,65.73170731707317
1,10,0,4,2,0,9,3.095171451219512,63.29268292682927
1,10,0,4,4,0,9,3.454587658536585,63.78048780487805
1,10,3,2,2,2,9,4.219971298780488,64.8780487804878
1,10,3,2,2,4,9,4.350692079268293,64.9390243902439
1,10,3,2,4,2,9,4.6472729634146335,65.67073170731707
1,10,3,2,4,4,9,4.75618637804878,65.73170731707317
1,10,3,4,2,2,9,3.4241208170731707,63.29268292682927
1,10,3,4,2,4,9,3.5369711585365855,63.29268292682927
1,10,3,4,4,2,9,3.6872859512195126,63.78048780487805
1,10,3,4,4,4,9,3.7790570731707316,63.78048780487805
1,10,5,2,2,2,9,4.571999201219512,65.0
1,10,5,2,2,4,9,4.787888420731707,65.0
1,10,5,2,4,2,9,4.915909597560976,65.73170731707317
1,10,5,2,4,4,9,5.091207743902439,65.79268292682927
1,10,5,4,2,2,9,3.7154287195121953,63.29268292682927
1,10,5,4,2,4,9,3.9003408658536594,63.29268292682927
1,10,5,4,4,2,9,3.886711658536585,63.78048780487805
1,10,5,4,4,4,9,4.033426975609756,63.78048780487805
1,10,10,2,2,2,9,5.541124957317073,65.1219512195122
1,10,10,2,2,4,9,5.964066908536586,65.1829268292683
1,10,10,2,4,2,9,5.643438865853658,65.97560975609757
1,10,10,2,4,4,9,5.999255597560976,65.97560975609757
1,10,10,4,2,2,9,4.498852475609756,63.47560975609756
1,10,10,4,2,4,9,4.860124134146342,63.47560975609756
1,10,10,4,4,2,9,4.4126678048780485,63.963414634146346
1,10,10,4,4,4,9,4.710479658536586,63.963414634146346
3,-1,-1,2,0,0,9,1.4765289939024389,64.26829268292683
3,-1,-1,4,0,0,9,1.7542453231707313,66.58536585365854
3,-1,0,2,0,0,9,1.941345530487805,67.8658536585366
3,-1,0,4,0,0,9,2.175237323170732,68.96341463414635
3,-1,3,2,0,2,9,3.0707251890243903,68.29268292682926
3,-1,3,2,0,4,9,3.361082798780488,68.29268292682926
3,-1,3,4,0,2,9,3.1483863963414636,69.45121951219512
3,-1,3,4,0,4,9,3.3982640060975604,69.39024390243902
3,-1,5,2,0,2,9,4.100706701219512,68.47560975609757
3,-1,5,2,0,4,9,4.583011091463415,68.35365853658536
3,-1,5,4,0,2,9,4.047782884146341,69.45121951219512
3,-1,5,4,0,4,9,4.462110493902439,69.32926829268293
3,-1,10,2,0,2,9,6.719898457317074,69.20731707317074
3,-1,10,2,0,4,9,7.679620018292684,69.08536585365853
3,-1,10,4,0,2,9,6.385330103658537,70.18292682926828
3,-1,10,4,0,4,9,7.209752201219512,70.1219512195122
3,0,-1,2,0,0,9,1.6372967987804878,66.82926829268293
3,0,-1,4,0,0,9,1.8988868780487804,68.04878048780488
3,1,0,2,2,0,9,1.921115506097561,67.13414634146342
3,1,0,2,4,0,9,1.9006077804878048,67.01219512195122
3,1,0,4,2,0,9,2.1668823170731706,68.23170731707317
3,1,0,4,4,0,9,2.1542003048780485,68.17073170731707
3,1,3,2,2,2,9,2.500547213414634,67.13414634146342
3,1,3,2,2,4,9,2.6395120914634145,67.19512195121952
3,1,3,2,4,2,9,2.3267585121951218,66.82926829268293
3,1,3,2,4,4,9,2.4398063170731703,66.89024390243902
3,1,3,4,2,2,9,2.712510756097561,68.23170731707317
3,1,3,4,2,4,9,2.8439349999999997,68.23170731707317
3,1,3,4,4,2,9,2.5880150853658535,68.10975609756098
3,1,3,4,4,4,9,2.7014948414634143,68.10975609756098
3,1,5,2,2,2,9,3.0393014573170727,67.19512195121952
3,1,5,2,2,4,9,3.273727554878049,67.13414634146342
3,1,5,2,4,2,9,2.720216707317073,66.89024390243902
3,1,5,2,4,4,9,2.9113983170731705,66.82926829268293
3,1,5,4,2,2,9,3.218806951219512,68.23170731707317
3,1,5,4,2,4,9,3.441200121951219,68.17073170731707
3,1,5,4,4,2,9,2.9873971829268293,68.10975609756098
3,1,5,4,4,4,9,3.1801584999999997,68.04878048780488
3,1,10,2,2,2,9,4.432924189024391,67.6829268292683
3,1,10,2,2,4,9,4.9000732621951215,67.6829268292683
3,1,10,2,4,2,9,3.755171829268292,67.01219512195122
3,1,10,2,4,4,9,4.13693031707317,67.01219512195122
3,1,10,4,2,2,9,4.5824399268292675,68.78048780487805
3,1,10,4,2,4,9,5.026337682926829,68.78048780487805
3,1,10,4,4,2,9,4.070039719512195,68.23170731707317
3,1,10,4,4,4,9,4.457425914634146,68.23170731707317
3,3,-1,2,2,0,9,1.9555722865853662,67.25609756097562
3,3,-1,2,4,0,9,2.0380039024390246,67.3170731707317
3,3,-1,4,2,0,9,2.1787545609756096,68.47560975609757
3,3,-1,4,4,0,9,2.2489120609756093,68.53658536585365
3,3,0,2,2,0,9,2.1267113597560976,67.56097560975608
3,3,0,2,4,0,9,2.2076002926829266,67.92682926829269
3,3,0,4,2,0,9,2.3590880243902443,68.71951219512195
3,3,0,4,4,0,9,2.440772451219512,69.14634146341463
3,3,3,2,2,2,9,2.523748579268293,67.56097560975608
3,3,3,2,2,4,9,2.6284905792682927,67.56097560975608
3,3,3,2,4,2,9,2.6001945853658537,68.04878048780488
3,3,3,2,4,4,9,2.7098114634146344,68.04878048780488
3,3,3,4,2,2,9,2.7537433414634145,68.78048780487805
3,3,3,4,2,4,9,2.859016024390243,68.78048780487805
3,3,3,4,4,2,9,2.8659235243902437,69.32926829268293
3,3,3,4,4,4,9,2.9818715731707317,69.32926829268293
3,3,5,2,2,2,9,2.871111408536585,67.6829268292683
