k1,k2,k3,t1,t2,t3,loop,cost,accuracy
-1,-1,0,0,0,0,0,4.617064878048782,72.5609756097561
-1,-1,3,0,0,2,9,16.212388097560982,77.07317073170732
-1,-1,3,0,0,4,9,19.208574536585367,78.17073170731707
-1,-1,5,0,0,2,9,26.96174102439025,78.65853658536585
-1,-1,5,0,0,4,9,31.966636390243902,80.42682926829269
-1,-1,10,0,0,2,9,53.97378585365854,80.54878048780488
-1,-1,10,0,0,4,9,63.85801453658537,82.2560975609756
-1,0,-1,0,0,0,0,1.5004670731707315,64.63414634146342
-1,1,0,0,2,0,0,2.423322500000001,67.6829268292683
-1,1,0,0,4,0,0,3.239946219512194,69.51219512195121
-1,1,3,0,2,2,9,3.8883776219512205,67.8658536585366
-1,1,3,0,2,4,9,4.21269893902439,67.8658536585366
-1,1,3,0,4,2,9,5.444970804878047,70.1219512195122
-1,1,3,0,4,4,9,6.052886609756096,70.0
-1,1,5,0,2,2,9,5.259390792682927,68.10975609756098
-1,1,5,0,2,4,9,5.808709329268293,67.92682926829269
-1,1,5,0,4,2,9,7.507871097560973,70.42682926829268
-1,1,5,0,4,4,9,8.551934219512194,70.1219512195122
-1,1,10,0,2,2,9,8.75476474390244,68.65853658536587
-1,1,10,0,2,4,9,9.851871475609757,68.53658536585365
-1,1,10,0,4,2,9,12.707996073170731,71.40243902439025
-1,1,10,0,4,4,9,14.76135641463415,71.09756097560975
-1,3,-1,0,2,0,9,4.962526006097562,69.6341463414634
-1,3,-1,0,4,0,9,5.918925762195121,72.07317073170731
-1,3,0,0,2,0,9,5.565443518292683,72.6219512195122
-1,3,0,0,4,0,9,6.560817615853658,75.0
-1,3,3,0,2,2,9,7.06194468902439,73.10975609756098
-1,3,3,0,2,4,9,7.479740250000001,72.92682926829268
-1,3,3,0,4,2,9,8.16478825,75.54878048780488
-1,3,3,0,4,4,9,8.649548591463413,75.36585365853658
-1,3,5,0,2,2,9,8.416494347560976,73.17073170731707
-1,3,5,0,2,4,9,9.092843567073173,72.98780487804878
-1,3,5,0,4,2,9,9.629917420731706,75.67073170731707
-1,3,5,0,4,4,9,10.400530737804878,75.48780487804878
-1,3,10,0,2,2,9,11.94015493292683,73.59756097560975
-1,3,10,0,2,4,9,13.292051176829268,73.53658536585365
-1,3,10,0,4,2,9,13.386054152439025,76.03658536585365
-1,3,10,0,4,4,9,14.888343469512192,75.91463414634147
-1,5,-1,0,2,0,9,8.283633323170731,72.1951219512195
-1,5,-1,0,4,0,9,9.89207368902439,75.42682926829268
-1,5,0,0,2,0,9,8.846836006097561,74.32926829268293
-1,5,0,0,4,0,9,10.412747689024389,77.13414634146342
-1,5,3,0,2,2,9,10.244136493902438,74.63414634146342
-1,5,3,0,2,4,9,10.624290591463414,74.57317073170732
-1,5,3,0,4,2,9,11.699135445121948,77.19512195121952
-1,5,3,0,4,4,9,12.089952567073167,77.13414634146342
-1,5,5,0,2,2,9,11.501645225609755,74.6951219512195
-1,5,5,0,2,4,9,12.127209323170733,74.51219512195122
-1,5,5,0,4,2,9,12.868328664634143,77.3170731707317
-1,5,5,0,4,4,9,13.503025445121951,77.19512195121952
-1,5,10,0,2,2,9,14.751967079268292,75.2439024390244
-1,5,10,0,2,4,9,16.000960201219513,75.0609756097561
-1,5,10,0,4,2,9,15.906722908536583,77.8658536585366
-1,5,10,0,4,4,9,17.132365981707313,77.6829268292683
-1,10,-1,0,2,0,9,16.524386310975608,75.3048780487805
-1,10,-1,0,4,0,9,19.744101402439025,78.78048780487805
-1,10,0,0,2,0,9,17.002827823170733,76.28048780487805
-1,10,0,0,4,0,9,20.16448867073171,79.81707317073172
-1,10,3,0,2,2,9,18.187336798780485,76.58536585365854
-1,10,3,0,2,4,9,18.513571042682923,76.58536585365854
-1,10,3,0,4,2,9,21.19965359756097,79.75609756097562
-1,10,3,0,4,4,9,21.499760963414634,79.69512195121952
-1,10,5,0,2,2,9,19.23647226219512,76.58536585365854
-1,10,5,0,2,4,9,19.77764543292683,76.40243902439025
-1,10,5,0,4,2,9,22.12299252439024,79.8170731707317
-1,10,5,0,4,4,9,22.612442621951217,79.57317073170731
-1,10,10,0,2,2,9,21.978078993902436,77.01219512195122
-1,10,10,0,2,4,9,23.062301237804874,76.89024390243902
-1,10,10,0,4,2,9,24.56265301219512,80.18292682926828
-1,10,10,0,4,4,9,25.545959109756097,79.9390243902439
0,-1,-1,0,0,0,0,0.44146621951219545,56.70731707317073
1,-1,0,2,0,0,0,1.3853021341463412,64.63414634146342
1,-1,0,4,0,0,0,1.7280220121951222,66.46341463414635
1,-1,3,2,0,2,9,3.5151055,65.48780487804878
1,-1,3,2,0,4,9,4.0915875975609755,65.48780487804878
1,-1,3,4,0,2,9,4.5186613780487805,68.53658536585365
1,-1,3,4,0,4,9,5.2854365,68.47560975609757
1,-1,5,2,0,2,9,5.489616231707317,65.67073170731707
1,-1,5,2,0,4,9,6.468713890243904,65.73170731707317
1,-1,5,4,0,2,9,7.097496548780488,68.84146341463413
1,-1,5,4,0,4,9,8.401717719512197,68.90243902439025
1,-1,10,2,0,2,9,10.499843109756098,66.28048780487805
1,-1,10,2,0,4,9,12.418718524390245,66.58536585365854
1,-1,10,4,0,2,9,13.597881085365854,69.57317073170731
1,-1,10,4,0,4,9,16.16186947560976,69.9390243902439
1,0,-1,2,0,0,0,0.8146382317073168,62.80487804878049
1,0,-1,4,0,0,0,0.9884384756097562,64.63414634146342
1,1,-1,2,2,0,0,0.8644726829268292,62.80487804878049
1,1,-1,2,4,0,0,0.9208354878048777,62.80487804878049
1,1,-1,4,2,0,0,1.0529515853658538,64.63414634146342
1,1,-1,4,4,0,0,1.1284128658536583,64.63414634146342
1,1,0,2,2,0,0,1.2012712195121948,64.02439024390245
1,1,0,2,4,0,0,1.4283164634146337,64.63414634146342
1,1,0,4,2,0,0,1.3695101219512198,65.2439024390244
1,1,0,4,4,0,0,1.736106524390244,67.07317073170732
1,1,3,2,2,2,9,2.023299073170732,63.78048780487805
1,1,3,2,2,4,9,2.2276490243902436,63.78048780487805
1,1,3,2,4,2,9,2.636286560975609,64.51219512195122
1,1,3,2,4,4,9,3.0051729024390244,64.51219512195122
1,1,3,4,2,2,9,2.1278313414634145,65.0609756097561
1,1,3,4,2,4,9,2.3126324146341464,65.0609756097561
1,1,3,4,4,2,9,3.164359402439025,67.13414634146342
1,1,3,4,4,4,9,3.5894857926829262,67.01219512195122
1,1,5,2,2,2,9,2.762762536585366,63.84146341463415
1,1,5,2,2,4,9,3.1102981463414636,63.84146341463415
1,1,5,2,4,2,9,3.7612356341463413,64.57317073170732
1,1,5,2,4,4,9,4.4000668048780485,64.57317073170732
1,1,5,4,2,2,9,2.811042414634146,65.1219512195122
1,1,5,4,2,4,9,3.123923195121951,65.0609756097561
1,1,5,4,4,2,9,4.508640963414634,67.19512195121952
1,1,5,4,4,4,9,5.2430197439024395,67.01219512195122
1,1,10,2,2,2,9,4.725733999999999,64.26829268292683
1,1,10,2,2,4,9,5.421175463414634,64.45121951219512
1,1,10,2,4,2,9,6.652137048780488,65.1829268292683
1,1,10,2,4,4,9,7.8922196341463415,65.3658536585366
1,1,10,4,2,2,9,4.6230777804878045,65.54878048780488
1,1,10,4,2,4,9,5.245766317073171,65.67073170731707
1,1,10,4,4,2,9,7.915267451219513,67.8658536585366
1,1,10,4,4,4,9,9.346926573170732,67.8048780487805
1,3,-1,2,2,0,9,1.4449690243902436,62.5609756097561
1,3,-1,2,4,0,9,1.619336890243902,63.109756097560975
1,3,-1,4,2,0,9,1.8079860975609758,65.67073170731707
1,3,-1,4,4,0,9,2.0457398170731707,66.40243902439025
1,3,0,2,2,0,9,1.846461512195122,64.51219512195122
1,3,0,2,4,0,9,2.0286908902439023,64.63414634146342
1,3,0,4,2,0,9,2.2128601463414643,67.5
1,3,0,4,4,0,9,2.467065036585366,68.04878048780488
1,3,3,2,2,2,9,2.7813026829268286,64.63414634146342
1,3,3,2,2,4,9,3.0314271219512197,64.57317073170732
1,3,3,2,4,2,9,2.993842695121951,64.75609756097562
1,3,3,2,4,4,9,3.2640466951219516,64.69512195121952
1,3,3,4,2,2,9,3.1488120487804876,67.6829268292683
1,3,3,4,2,4,9,3.3972333658536584,67.5609756097561
1,3,3,4,4,2,9,3.4677355731707316,68.23170731707317
1,3,3,4,4,4,9,3.745776402439024,68.10975609756098
1,3,5,2,2,2,9,3.6262733170731707,64.63414634146342
1,3,5,2,2,4,9,4.043180292682927,64.63414634146342
1,3,5,2,4,2,9,3.8665692804878047,64.8170731707317
1,3,5,2,4,4,9,4.308356646341464,64.8170731707317
1,3,5,4,2,2,9,4.000422390243903,67.6829268292683
1,3,5,4,2,4,9,4.412343414634147,67.5609756097561
1,3,5,4,4,2,9,4.371093670731707,68.29268292682926
1,3,5,4,4,4,9,4.825345914634147,68.17073170731707
1,3,10,2,2,2,9,5.859448780487804,64.9390243902439
1,3,10,2,2,4,9,6.709207902439024,65.1829268292683
1,3,10,2,4,2,9,6.151949134146342,65.1219512195122
1,3,10,2,4,4,9,7.033857768292684,65.3658536585366
1,3,10,4,2,2,9,6.238534439024391,67.98780487804879
1,3,10,4,2,4,9,7.077235609756098,68.10975609756098
1,3,10,4,4,2,9,6.7165024024390245,68.59756097560975
1,3,10,4,4,4,9,7.622649670731709,68.71951219512195
1,5,-1,2,2,0,9,2.07443612804878,63.170731707317074
1,5,-1,2,4,0,9,2.3660872865853655,63.84146341463415
1,5,-1,4,2,0,9,2.6195212804878047,66.40243902439025
1,5,-1,4,4,0,9,3.015772073170732,67.25609756097562
1,5,0,2,2,0,9,2.4630441280487805,64.8780487804878
1,5,0,2,4,0,9,2.7511286036585365,65.1219512195122
1,5,0,4,2,0,9,2.9976266951219515,67.8658536585366
1,5,0,4,4,0,9,3.4129573902439025,68.59756097560975
1,5,3,2,2,2,9,3.3638105182926825,64.8170731707317
1,5,3,2,2,4,9,3.6080974451219507,64.8170731707317
1,5,3,2,4,2,9,3.644366701219512,65.0
1,5,3,2,4,4,9,3.917335189024389,65.0
1,5,3,4,2,2,9,3.8661078170731704,67.8658536585366
1,5,3,4,2,4,9,4.100213036585366,67.8658536585366
1,5,3,4,4,2,9,4.33786368292683,68.53658536585365
1,5,3,4,4,4,9,4.621593926829267,68.47560975609757
1,5,5,2,2,2,9,4.175434518292683,64.8170731707317
1,5,5,2,2,4,9,4.583924615853658,64.8170731707317
1,5,5,2,4,2,9,4.4528559695121945,65.1219512195122
1,5,5,2,4,4,9,4.901529871951219,65.1219512195122
1,5,5,4,2,2,9,4.649161329268293,67.8658536585366
1,5,5,4,2,4,9,5.038238304878049,67.80487804878048
1,5,5,4,4,2,9,5.181069487804878,68.65853658536587
1,5,5,4,4,4,9,5.648416024390244,68.59756097560975
1,5,10,2,2,2,9,6.332512518292683,65.3048780487805
1,5,10,2,2,4,9,7.148678176829269,65.48780487804878
1,5,10,2,4,2,9,6.597345676829267,65.60975609756098
1,5,10,2,4,4,9,7.461926896341463,65.73170731707317
1,5,10,4,2,2,9,6.730450402439024,68.35365853658536
1,5,10,4,2,4,9,7.504087378048781,68.47560975609757
1,5,10,4,4,2,9,7.396164707317072,69.14634146341463
1,5,10,4,4,4,9,8.298979780487807,69.20731707317074
1,10,-1,2,2,0,9,3.6263839329268297,64.51219512195122
1,10,-1,2,4,0,9,4.196698475609756,65.2439024390244
1,10,-1,4,2,0,9,4.637058292682927,67.6829268292683
1,10,-1,4,4,0,9,5.411515670731706,68.47560975609757
1,10,0,2,2,0,9,3.97414168902439,65.2439024390244
1,10,0,2,4,0,9,4.522908036585365,66.03658536585367
1,10,0,4,2,0,9,4.988814682926829,68.41463414634147
1,10,0,4,4,0,9,5.73960113414634,69.32926829268293
1,10,3,2,2,2,9,4.775250762195122,65.3048780487805
1,10,3,2,2,4,9,5.002852030487806,65.3048780487805
1,10,3,2,4,2,9,5.2708994512195115,65.97560975609757
1,10,3,2,4,4,9,5.487405743902439,65.97560975609757
1,10,3,4,2,2,9,5.802178829268294,68.53658536585365
1,10,3,4,2,4,9,6.032174341463414,68.53658536585365
1,10,3,4,4,2,9,6.493195573170732,69.26829268292683
1,10,3,4,4,4,9,6.710886646341464,69.26829268292683
1,10,5,2,2,2,9,5.483490323170732,65.3048780487805
1,10,5,2,2,4,9,5.860645445121952,65.2439024390244
1,10,5,2,4,2,9,5.934290134146341,66.03658536585367
1,10,5,2,4,4,9,6.291624865853659,65.97560975609757
1,10,5,4,2,2,9,6.519699170731706,68.53658536585365
1,10,5,4,2,4,9,6.900532048780486,68.47560975609757
1,10,5,4,4,2,9,7.16180669512195,69.32926829268293
1,10,5,4,4,4,9,7.521128402439024,69.26829268292683
1,10,10,2,2,2,9,7.382644079268292,65.60975609756098
1,10,10,2,2,4,9,8.130018420731709,65.73170731707317
1,10,10,2,4,2,9,7.697502670731707,66.21951219512195
1,10,10,2,4,4,9,8.412789207317072,66.28048780487805
1,10,10,4,2,2,9,8.443980146341465,68.84146341463413
1,10,10,4,2,4,9,9.19854956097561,68.96341463414635
1,10,10,4,4,2,9,8.940840987804878,69.51219512195121
1,10,10,4,4,4,9,9.660138499999999,69.57317073170731
3,-1,-1,2,0,0,9,1.4765289939024389,64.26829268292683
3,-1,-1,4,0,0,9,1.7542453231707313,66.58536585365854
3,-1,0,2,0,0,9,2.297483140243903,69.08536585365853
3,-1,0,4,0,0,9,2.593612932926829,70.97560975609755
3,-1,3,2,0,2,9,4.319434457317073,70.1219512195122
3,-1,3,2,0,4,9,4.8486610914634145,70.1219512195122
3,-1,3,4,0,2,9,4.6376801524390245,72.4390243902439
3,-1,3,4,0,4,9,5.216272640243902,72.4390243902439
3,-1,5,2,0,2,9,6.169604945121952,70.48780487804878
3,-1,5,2,0,4,9,7.045935237804878,70.42682926829269
3,-1,5,4,0,2,9,6.524726932926829,72.6829268292683
3,-1,5,4,0,4,9,7.4897182987804864,72.5
3,-1,10,2,0,2,9,10.89569431097561,71.21951219512195
3,-1,10,2,0,4,9,12.613811140243905,71.34146341463415
3,-1,10,4,0,2,9,11.37026932317073,73.65853658536585
3,-1,10,4,0,4,9,13.203322201219512,73.41463414634146
3,0,-1,2,0,0,9,1.7557397865853657,67.98780487804879
3,0,-1,4,0,0,9,2.0442420914634143,69.93902439024392
3,1,0,2,2,0,9,2.152038701219513,68.53658536585365
3,1,0,2,4,0,9,2.347890512195122,69.08536585365853
3,1,0,4,2,0,9,2.431244030487805,70.54878048780488
3,1,0,4,4,0,9,2.6776259268292684,71.21951219512195
3,1,3,2,2,2,9,2.94349675,68.41463414634147
3,1,3,2,2,4,9,3.1338391402439023,68.41463414634147
3,1,3,2,4,2,9,3.390670121951219,69.45121951219512
3,1,3,2,4,4,9,3.6836194390243904,69.39024390243902
3,1,3,4,2,2,9,3.21401368902439,70.54878048780488
3,1,3,4,2,4,9,3.396025591463414,70.60975609756098
3,1,3,4,4,2,9,3.817434121951219,71.89024390243902
3,1,3,4,4,4,9,4.142989585365854,71.89024390243902
3,1,5,2,2,2,9,3.6634607012195124,68.47560975609757
3,1,5,2,2,4,9,3.9862269939024393,68.41463414634147
3,1,5,2,4,2,9,4.350317634146341,69.45121951219512
3,1,5,2,4,4,9,4.83745987804878,69.26829268292683
3,1,5,4,2,2,9,3.9202292499999998,70.60975609756098
3,1,5,4,2,4,9,4.226420957317074,70.48780487804878
3,1,5,4,4,2,9,4.882329634146341,71.95121951219512
3,1,5,4,4,4,9,5.426909048780487,71.70731707317073
3,1,10,2,2,2,9,5.557492750000001,68.90243902439025
3,1,10,2,2,4,9,6.2001867987804875,69.02439024390243
3,1,10,2,4,2,9,6.857547634146342,70.18292682926828
3,1,10,2,4,4,9,7.8328441219512195,70.1219512195122
3,1,10,4,2,2,9,5.772559493902439,71.21951219512195
3,1,10,4,2,4,9,6.382400567073172,71.09756097560975
3,1,10,4,4,2,9,7.6467557317073185,72.86585365853658
3,1,10,4,4,4,9,8.697557292682927,72.5609756097561
3,3,-1,2,2,0,9,2.3571674085365855,68.23170731707317
3,3,-1,2,4,0,9,2.5075466158536583,68.53658536585365
3,3,-1,4,2,0,9,2.6483621524390246,70.97560975609755
3,3,-1,4,4,0,9,2.8108938292682923,71.09756097560975
3,3,0,2,2,0,9,2.72472087195122,69.26829268292683
3,3,0,2,4,0,9,2.865300957317073,69.32926829268293
3,3,0,4,2,0,9,3.00153781097561,71.89024390243902
3,3,0,4,4,0,9,3.1741771463414636,71.95121951219512
3,3,3,2,2,2,9,3.5680500914634146,69.57317073170731
3,3,3,2,2,4,9,3.802513213414634,69.51219512195121
3,3,3,2,4,2,9,3.6951656402439026,69.57317073170731
3,3,3,2,4,4,9,3.9512263231707316,69.51219512195121
3,3,3,4,2,2,9,3.785998249999999,72.07317073170731
3,3,3,4,2,4,9,4.004960493902439,72.07317073170731
3,3,3,4,4,2,9,3.998438804878049,72.07317073170731
3,3,3,4,4,4,9,4.262978073170731,72.07317073170731
3,3,5,2,2,2,9,4.332862920731707,69.57317073170731
3,3,5,2,2,4,9,4.721347506097561,69.51219512195121
